release_id,product_name,device_platform,firmware_variant,pio_env,flash_bytes,planned_ota_slot_bytes,ota_channel
astrolabe-astrolabe-175,Astrolabe Astrolabe 1.75,1.75,Astrolabe,waveshare_s3_175_astrolabe,16777216,3342336,astrolabe-astrolabe-175
astrolabe-lunasay-175,Astrolabe Lunasay 1.75,1.75,Lunasay,waveshare_s3_175_lunasay,16777216,3342336,astrolabe-lunasay-175
astrolabe-ocarina-175,Astrolabe Ocarina 1.75,1.75,Ocarina,waveshare_s3_175_ocarina,16777216,3342336,astrolabe-ocarina-175
astrolabe-cameo-175,Astrolabe Cameo 1.75,1.75,Cameo,waveshare_s3_175_cameo,16777216,3342336,astrolabe-cameo-175
astrolabe-luopan-175,Astrolabe Luopan 1.75,1.75,Luopan,waveshare_s3_175_luopan,16777216,3342336,astrolabe-luopan-175
astrolabe-enso-175,Astrolabe Enso 1.75,1.75,Enso,waveshare_s3_175_enso,16777216,3342336,astrolabe-enso-175
astrolabe-babel-fish-175,Astrolabe Babel Fish 1.75,1.75,BabelFish,waveshare_s3_175_babel_fish,16777216,3342336,astrolabe-babel-fish-175
astrolabe-astrolabe-185,Astrolabe Astrolabe 1.85,1.85,Astrolabe,waveshare_s3_185_astrolabe,16777216,3342336,astrolabe-astrolabe-185
astrolabe-smart-speaker-185,Astrolabe Smart Speaker 1.85,1.85,SmartSpeaker,waveshare_s3_185_smart_speaker,16777216,3342336,astrolabe-smart-speaker-185
astrolabe-cameo-145,Astrolabe Cameo 1.45,1.45,Cameo,waveshare_s3_145_cameo,16777216,3342336,astrolabe-cameo-145
